Region;Year;Professional groups;Age Group;Total ;Women;Men;Gender Pay Gap;;;;;;;;
Lake Geneva;2020;Operating plant and machinery and assembly occupations;total ;5 754;5 108;5 880; 772;;;;;;;;
Lake Geneva;2020;Operating stationary plant and machinery;total ;5 896;5 083;6 201;1 118;;;;;;;;
Lake Geneva;2020;Assembly occupations;total ;5 569;5 023;5 804; 781;;;;;;;;
Lake Geneva;2020;Driving vehicles and operating mobile equipment;total ;5 634;5 238;5 660; 422;;;;;;;;
Lake Geneva;2020;Auxiliary workers;total ;4 905;4 178;5 312;1 134;;;;;;;;
Lake Geneva;2020;Cleaning staff and unskilled workers;total ;4 060;3 947;4 422; 475;;;;;;;;
Lake Geneva;2020;Auxiliary workers in mining, construction, production of goods and transportation;total ;5 406;4 664;5 634; 970;;;;;;;;
Lake Geneva;2021;Total ;<= 29;5 300;5 240;5 345; 105;;;;;;;;
Lake Geneva;2020;Executives;<= 29;5 831;5 667;6 129; 462;;;;;;;;
Lake Geneva;2020;Managing directors, board members, senior administrative staff and legislative bodies;<= 29;6 155;6 155;6 238; 83;;;;;;;;
Lake Geneva;2020;Managers in the commercial sector;<= 29;5 747;5 526;6 222; 696;;;;;;;;
Lake Geneva;2020;Managers in production and specialized services;<= 29;6 129;5 978;6 129; 151;;;;;;;;
Lake Geneva;2020;Managers in hotels, restaurants, retail and other services services;<= 29;4 622;*;*;#WERT!;;;;;;;;
Lake Geneva;2020;Intellectual and scientific professions;<= 29;6 298;6 343;6 182;- 161;;;;;;;;
Lake Geneva;2020;Scientists, mathematicians and engineers;<= 29;6 115;5 810;6 421; 611;;;;;;;;
Lake Geneva;2020;Specialists in health professions;<= 29;6 349;6 363;6 305;- 58;;;;;;;;
Lake Geneva;2020;Teachers;<= 29;6 808;6 791;6 930; 139;;;;;;;;
Lake Geneva;2020;Business economists and similar specialists;<= 29;6 490;6 292;6 834; 542;;;;;;;;
Lake Geneva;2020;Specialists in information and communication technology;<= 29;6 667;6 667;6 667; 0;;;;;;;;
Lake Geneva;2020;Lawyers, social scientists and cultural professions;<= 29;6 494;6 623;6 423;- 200;;;;;;;;
Lake Geneva;2020;Technicians and equivalent non-technical professions;<= 29;5 489;5 264;5 811; 547;;;;;;;;
Lake Geneva;2020;Engineering and comparable specialists;<= 29;5 683;5 389;5 740; 351;;;;;;;;
Lake Geneva;2020;Assistant professions in the healthcare sector;<= 29;4 765;4 667;5 270; 603;;;;;;;;
Lake Geneva;2020;Business management and commercial specialists and administrative specialists;<= 29;5 699;5 552;6 024; 472;;;;;;;;
Lake Geneva;2020;Legal, social, cultural and related professionals;<= 29;5 572;5 780;5 305;- 475;;;;;;;;
Lake Geneva;2020;Information and communication technicians;<= 29;5 777;*;5 777;#WERT!;;;;;;;;
Lake Geneva;2020;Office workers and related professions;<= 29;5 029;5 062;4 990;- 72;;;;;;;;
Lake Geneva;2020;General office and secretarial staff;<= 29;5 124;5 175;5 022;- 153;;;;;;;;
Lake Geneva;2020;Office staff with customer contact;<= 29;4 571;4 546;4 685; 139;;;;;;;;
Lake Geneva;2020;Office staff in finance and accounting, statistics and materials management;<= 29;4 899;5 081;4 853;- 228;;;;;;;;
Lake Geneva;2020;Other office workers and related occupations;<= 29;5 206;5 049;5 474; 425;;;;;;;;
Lake Geneva;2020;Service professions and salespersons;<= 29;4 508;4 423;4 639; 216;;;;;;;;
Lake Geneva;2020;Occupations in the field of personal services;<= 29;4 223;4 093;4 332; 239;;;;;;;;
Lake Geneva;2020;Sales staff;<= 29;4 381;4 329;4 467; 138;;;;;;;;
Lake Geneva;2020;Caring professions;<= 29;4 941;4 961;4 912;- 49;;;;;;;;
Lake Geneva;2020;Protection and security workers;<= 29;4 973;4 895;4 987; 92;;;;;;;;
Lake Geneva;2020;Skilled workers in agriculture, forestry and fishing;<= 29;5 199;*;5 199;#WERT!;;;;;;;;
Lake Geneva;2020;Skilled workers in agriculture;<= 29;5 154;*;5 154;#WERT!;;;;;;;;
Lake Geneva;2020;Craft and related trades;<= 29;5 328;4 829;5 362; 533;;;;;;;;
Lake Geneva;2020;Construction and finishing workers and related occupations, excl. Electricians;<= 29;5 518;*;5 518;#WERT!;;;;;;;;
Lake Geneva;2020;Metalworkers, mechanics, polymechanics, production mechanics and related occupations;<= 29;5 328;*;5 334;#WERT!;;;;;;;;
Lake Geneva;2020;Precision craftsmen and women, printers and artisans;<= 29;5 156;5 067;5 306; 239;;;;;;;;
Lake Geneva;2020;Electricians and electronics technicians;<= 29;5 389;*;5 360;#WERT!;;;;;;;;
Lake Geneva;2020;Food processing, clothing production and related skilled trades;<= 29;4 417;4 498;4 370;- 128;;;;;;;;
Lake Geneva;2020;Operating plant and machinery and assembly occupations;<= 29;5 083;4 675;5 144; 469;;;;;;;;
Lake Geneva;2020;Operating stationary plant and machinery;<= 29;5 207;4 491;5 477; 986;;;;;;;;
Lake Geneva;2020;Assembly occupations;<= 29;5 473;*;5 536;#WERT!;;;;;;;;
Lake Geneva;2020;Driving vehicles and operating mobile equipment;<= 29;4 803;5 079;4 803;- 276;;;;;;;;
Lake Geneva;2020;Auxiliary workers;<= 29;4 710;4 064;4 917; 853;;;;;;;;
Lake Geneva;2020;Cleaning staff and unskilled workers;<= 29;4 000;3 835;4 193; 358;;;;;;;;
Lake Geneva;2020;Auxiliary workers in mining, construction, production of goods and transportation;<= 29;4 886;4 320;5 053; 733;;;;;;;;
Lake Geneva;2021;Total ;30 - 49;6 991;6 924;7 038; 114;;;;;;;;
Lake Geneva;2020;Executives;30 - 49;9 919;9 362;10 363;1 001;;;;;;;;
Lake Geneva;2020;Managing directors, board members, senior administrative staff and legislative bodies;30 - 49;10 950;9 905;11 460;1 555;;;;;;;;
Lake Geneva;2020;Managers in the commercial sector;30 - 49;9 647;8 648;10 677;2 029;;;;;;;;
Lake Geneva;2020;Managers in production and specialized services;30 - 49;10 099;10 166;10 083;- 83;;;;;;;;
Lake Geneva;2020;Managers in hotels, restaurants, retail and other services services;30 - 49;6 252;5 853;6 328; 475;;;;;;;;
Lake Geneva;2020;Intellectual and scientific professions;30 - 49;8 615;8 322;8 993; 671;;;;;;;;
Lake Geneva;2020;Scientists, mathematicians and engineers;30 - 49;8 461;7 584;8 679;1 095;;;;;;;;
Lake Geneva;2020;Specialists in health professions;30 - 49;7 942;7 852;8 180; 328;;;;;;;;
Lake Geneva;2020;Teachers;30 - 49;9 088;8 800;9 788; 988;;;;;;;;
Lake Geneva;2020;Business economists and similar specialists;30 - 49;9 575;9 137;10 193;1 056;;;;;;;;
Lake Geneva;2020;Specialists in information and communication technology;30 - 49;9 230;8 796;9 338; 542;;;;;;;;
Lake Geneva;2020;Lawyers, social scientists and cultural professions;30 - 49;8 800;8 665;9 250; 585;;;;;;;;
Lake Geneva;2020;Technicians and equivalent non-technical professions;30 - 49;7 277;6 936;7 544; 608;;;;;;;;
Lake Geneva;2020;Engineering and comparable specialists;30 - 49;7 143;6 972;7 179; 207;;;;;;;;
Lake Geneva;2020;Assistant professions in the healthcare sector;30 - 49;6 166;6 055;6 559; 504;;;;;;;;
Lake Geneva;2020;Business management and commercial specialists and administrative specialists;30 - 49;7 898;7 470;8 588;1 118;;;;;;;;
Lake Geneva;2020;Legal, social, cultural and related professionals;30 - 49;6 723;6 808;6 589;- 219;;;;;;;;
Lake Geneva;2020;Information and communication technicians;30 - 49;7 441;6 601;7 581; 980;;;;;;;;
Lake Geneva;2020;Office workers and related professions;30 - 49;6 233;6 283;6 116;- 167;;;;;;;;
Lake Geneva;2020;General office and secretarial staff;30 - 49;6 496;6 393;6 856; 463;;;;;;;;
Lake Geneva;2020;Office staff with customer contact;30 - 49;5 582;5 582;5 619; 37;;;;;;;;
Lake Geneva;2020;Office staff in finance and accounting, statistics and materials management;30 - 49;5 683;6 166;5 590;- 576;;;;;;;;
Lake Geneva;2020;Other office workers and related occupations;30 - 49;6 463;6 427;6 600; 173;;;;;;;;
Lake Geneva;2020;Service professions and salespersons;30 - 49;4 971;4 750;5 279; 529;;;;;;;;
Lake Geneva;2020;Occupations in the field of personal services;30 - 49;4 685;4 522;4 886; 364;;;;;;;;
Lake Geneva;2020;Sales staff;30 - 49;4 755;4 507;5 316; 809;;;;;;;;
Lake Geneva;2020;Caring professions;30 - 49;5 283;5 248;5 544; 296;;;;;;;;
Lake Geneva;2020;Protection and security workers;30 - 49;5 866;5 432;6 020; 588;;;;;;;;
Lake Geneva;2020;Skilled workers in agriculture, forestry and fishing;30 - 49;5 749;5 947;5 734;- 213;;;;;;;;
Lake Geneva;2020;Skilled workers in agriculture;30 - 49;5 720;5 947;5 701;- 246;;;;;;;;
Lake Geneva;2020;Craft and related trades;30 - 49;5 984;5 177;6 022; 845;;;;;;;;
Lake Geneva;2020;Construction and finishing workers and related occupations, excl. Electricians;30 - 49;5 965;*;5 968;#WERT!;;;;;;;;
Lake Geneva;2020;Metalworkers, mechanics, polymechanics, production mechanics and related occupations;30 - 49;6 193;4 976;6 230;1 254;;;;;;;;
Lake Geneva;2020;Precision craftsmen and women, printers and artisans;30 - 49;6 105;5 338;6 487;1 149;;;;;;;;
Lake Geneva;2020;Electricians and electronics technicians;30 - 49;6 208;5 507;6 228; 721;;;;;;;;
Lake Geneva;2020;Food processing, clothing production and related skilled trades;30 - 49;4 951;4 875;4 990; 115;;;;;;;;
Lake Geneva;2020;Operating plant and machinery and assembly occupations;30 - 49;5 772;5 061;5 893; 832;;;;;;;;
Lake Geneva;2020;Operating stationary plant and machinery;30 - 49;5 878;5 043;6 175;1 132;;;;;;;;
Lake Geneva;2020;Assembly occupations;30 - 49;5 559;4 870;5 828; 958;;;;;;;;
Lake Geneva;2020;Driving vehicles and operating mobile equipment;30 - 49;5 673;5 238;5 690; 452;;;;;;;;
Lake Geneva;2020;Auxiliary workers;30 - 49;4 873;4 142;5 287;1 145;;;;;;;;
Lake Geneva;2020;Cleaning staff and unskilled workers;30 - 49;4 022;3 908;4 426; 518;;;;;;;;
Lake Geneva;2020;Auxiliary workers in mining, construction, production of goods and transportation;30 - 49;5 351;4 707;5 552; 845;;;;;;;;
Lake Geneva;2021;Total ;>= 50;7 595;7 169;7 934; 765;;;;;;;;
Lake Geneva;2020;Executives;>= 50;11 927;10 529;12 482;1 953;;;;;;;;
Lake Geneva;2020;Managing directors, board members, senior administrative staff and legislative bodies;>= 50;12 616;11 584;12 963;1 379;;;;;;;;
Lake Geneva;2020;Managers in the commercial sector;>= 50;11 525;10 225;12 826;2 601;;;;;;;;
Lake Geneva;2020;Managers in production and specialized services;>= 50;10 895;10 287;11 212; 925;;;;;;;;
Lake Geneva;2020;Managers in hotels, restaurants, retail and other services services;>= 50;6 736;5 801;7 015;1 214;;;;;;;;
Lake Geneva;2020;Intellectual and scientific professions;>= 50;10 403;9 628;11 397;1 769;;;;;;;;
Lake Geneva;2020;Scientists, mathematicians and engineers;>= 50;10 799;10 069;10 946; 877;;;;;;;;
Lake Geneva;2020;Specialists in health professions;>= 50;9 415;8 968;11 054;2 086;;;;;;;;
Lake Geneva;2020;Teachers;>= 50;11 216;10 148;12 395;2 247;;;;;;;;
Lake Geneva;2020;Business economists and similar specialists;>= 50;10 833;9 939;11 302;1 363;;;;;;;;
Lake Geneva;2020;Specialists in information and communication technology;>= 50;11 053;10 764;11 124; 360;;;;;;;;
Lake Geneva;2020;Lawyers, social scientists and cultural professions;>= 50;9 882;9 714;10 079; 365;;;;;;;;
Lake Geneva;2020;Technicians and equivalent non-technical professions;>= 50;8 110;7 484;8 597;1 113;;;;;;;;
Lake Geneva;2020;Engineering and comparable specialists;>= 50;8 168;7 890;8 195; 305;;;;;;;;
Lake Geneva;2020;Assistant professions in the healthcare sector;>= 50;6 817;6 659;7 431; 772;;;;;;;;
Lake Geneva;2020;Business management and commercial specialists and administrative specialists;>= 50;8 713;8 081;10 008;1 927;;;;;;;;
Lake Geneva;2020;Legal, social, cultural and related professionals;>= 50;7 477;7 156;7 836; 680;;;;;;;;
Lake Geneva;2020;Information and communication technicians;>= 50;9 044;8 273;9 106; 833;;;;;;;;
Lake Geneva;2020;Office workers and related professions;>= 50;6 954;6 917;7 096; 179;;;;;;;;
Lake Geneva;2020;General office and secretarial staff;>= 50;7 172;7 030;7 979; 949;;;;;;;;
Lake Geneva;2020;Office staff with customer contact;>= 50;6 776;6 380;7 388;1 008;;;;;;;;
Lake Geneva;2020;Office staff in finance and accounting, statistics and materials management;>= 50;6 393;6 715;6 140;- 575;;;;;;;;
Lake Geneva;2020;Other office workers and related occupations;>= 50;7 422;6 836;8 057;1 221;;;;;;;;
Lake Geneva;2020;Service professions and salespersons;>= 50;5 267;5 021;5 812; 791;;;;;;;;
Lake Geneva;2020;Occupations in the field of personal services;>= 50;5 230;4 920;5 786; 866;;;;;;;;
Lake Geneva;2020;Sales staff;>= 50;4 829;4 650;5 888;1 238;;;;;;;;
Lake Geneva;2020;Caring professions;>= 50;5 533;5 513;5 820; 307;;;;;;;;
Lake Geneva;2020;Protection and security workers;>= 50;5 769;5 500;5 878; 378;;;;;;;;
Lake Geneva;2020;Skilled workers in agriculture, forestry and fishing;>= 50;6 451;*;6 451;#WERT!;;;;;;;;
Lake Geneva;2020;Skilled workers in agriculture;>= 50;6 402;*;6 402;#WERT!;;;;;;;;
Lake Geneva;2020;Craft and related trades;>= 50;6 402;5 688;6 426; 738;;;;;;;;
Lake Geneva;2020;Construction and finishing workers and related occupations, excl. Electricians;>= 50;6 278;*;6 285;#WERT!;;;;;;;;
Lake Geneva;2020;Metalworkers, mechanics, polymechanics, production mechanics and related occupations;>= 50;6 806;6 209;6 826; 617;;;;;;;;
Lake Geneva;2020;Precision craftsmen and women, printers and artisans;>= 50;6 820;5 758;7 269;1 511;;;;;;;;
Lake Geneva;2020;Electricians and electronics technicians;>= 50;6 941;*;6 944;#WERT!;;;;;;;;
Lake Geneva;2020;Food processing, clothing production and related skilled trades;>= 50;5 568;5 610;5 538;- 72;;;;;;;;
Lake Geneva;2020;Operating plant and machinery and assembly occupations;>= 50;6 043;5 323;6 196; 873;;;;;;;;
Lake Geneva;2020;Operating stationary plant and machinery;>= 50;6 215;5 345;6 571;1 226;;;;;;;;
Lake Geneva;2020;Assembly occupations;>= 50;5 688;5 218;6 177; 959;;;;;;;;
Lake Geneva;2020;Driving vehicles and operating mobile equipment;>= 50;5 903;5 240;5 947; 707;;;;;;;;
Lake Geneva;2020;Auxiliary workers;>= 50;5 131;4 326;5 815;1 489;;;;;;;;
Lake Geneva;2020;Cleaning staff and unskilled workers;>= 50;4 132;4 041;4 500; 459;;;;;;;;
Lake Geneva;2020;Auxiliary workers in mining, construction, production of goods and transportation;>= 50;5 957;4 829;6 097;1 268;;;;;;;;
Lake Geneva;2018;Total ;total ;6 600;6 442;6 720; 278;;;;;;;;
Lake Geneva;2018;Executives;total ;9 867;8 690;10 569;1 879;;;;;;;;
Lake Geneva;2018;Managing directors, board members, senior administrative staff and legislative bodies;total ;11 223;9 557;11 987;2 430;;;;;;;;
Lake Geneva;2018;Managers in the commercial sector;total ;10 040;8 650;11 235;2 585;;;;;;;;
Lake Geneva;2018;Managers in production and specialized services;total ;9 353;8 802;9 581; 779;;;;;;;;
Lake Geneva;2018;Managers in hotels, restaurants, retail and other services services;total ;6 500;5 682;7 067;1 385;;;;;;;;
Lake Geneva;2018;Intellectual and scientific professions;total ;8 471;8 082;8 873; 791;;;;;;;;
Lake Geneva;2018;Scientists, mathematicians and engineers;total ;8 157;6 919;8 666;1 747;;;;;;;;
Lake Geneva;2018;Specialists in health professions;total ;8 164;7 726;9 171;1 445;;;;;;;;
Lake Geneva;2018;Teachers;total ;8 968;8 704;9 788;1 084;;;;;;;;
Lake Geneva;2018;Business economists and similar specialists;total ;7 705;7 529;7 827; 298;;;;;;;;
Lake Geneva;2018;Specialists in information and communication technology;total ;8 847;8 140;9 000; 860;;;;;;;;
Lake Geneva;2018;Lawyers, social scientists and cultural professions;total ;8 245;8 016;8 651; 635;;;;;;;;
Lake Geneva;2018;Technicians and equivalent non-technical professions;total ;7 094;6 833;7 381; 548;;;;;;;;
Lake Geneva;2018;Engineering and comparable specialists;total ;7 137;6 741;7 219; 478;;;;;;;;
Lake Geneva;2018;Assistant professions in the healthcare sector;total ;7 142;7 038;7 435; 397;;;;;;;;
Lake Geneva;2018;Business management and commercial specialists and administrative specialists;total ;7 303;6 925;8 131;1 206;;;;;;;;
Lake Geneva;2018;Legal, social, cultural and related professionals;total ;6 370;6 432;6 323;- 109;;;;;;;;
Lake Geneva;2018;Information and communication technicians;total ;6 497;5 536;7 014;1 478;;;;;;;;
Lake Geneva;2018;Office workers and related professions;total ;5 952;6 098;5 497;- 601;;;;;;;;
Lake Geneva;2018;General office and secretarial staff;total ;6 375;6 276;6 704; 428;;;;;;;;
Lake Geneva;2018;Office staff with customer contact;total ;4 940;5 019;4 636;- 383;;;;;;;;
Lake Geneva;2018;Office staff in finance and accounting, statistics and materials management;total ;5 176;5 795;4 951;- 844;;;;;;;;
Lake Geneva;2018;Other office workers and related occupations;total ;6 055;6 436;4 965;-1 471;;;;;;;;
Lake Geneva;2018;Service professions and salespersons;total ;4 905;4 766;5 046; 280;;;;;;;;
Lake Geneva;2018;Occupations in the field of personal services;total ;4 465;4 327;4 637; 310;;;;;;;;
Lake Geneva;2018;Sales staff;total ;4 619;4 414;5 179; 765;;;;;;;;
Lake Geneva;2018;Caring professions;total ;5 530;5 501;5 711; 210;;;;;;;;
Lake Geneva;2018;Protection and security workers;total ;5 312;5 205;5 344; 139;;;;;;;;
Lake Geneva;2018;Skilled workers in agriculture, forestry and fishing;total ;5 352;5 609;5 337;- 272;;;;;;;;
Lake Geneva;2018;Skilled workers in agriculture;total ;5 309;5 609;5 302;- 307;;;;;;;;
Lake Geneva;2018;Craft and related trades;total ;5 734;4 980;5 798; 818;;;;;;;;
Lake Geneva;2018;Construction and finishing workers and related occupations, excl. Electricians;total ;5 800;5 113;5 800; 687;;;;;;;;
Lake Geneva;2018;Metalworkers, mechanics, polymechanics, production mechanics and related occupations;total ;5 796;4 897;5 836; 939;;;;;;;;
Lake Geneva;2018;Precision craftsmen and women, printers and artisans;total ;5 957;5 555;6 201; 646;;;;;;;;
Lake Geneva;2018;Electricians and electronics technicians;total ;5 795;*;5 776;#WERT!;;;;;;;;
Lake Geneva;2018;Food processing, clothing production and related skilled trades;total ;5 420;4 537;5 571;1 034;;;;;;;;
Lake Geneva;2018;Operating plant and machinery and assembly occupations;total ;5 588;4 875;5 664; 789;;;;;;;;
Lake Geneva;2018;Operating stationary plant and machinery;total ;5 701;4 656;6 021;1 365;;;;;;;;
Lake Geneva;2018;Assembly occupations;total ;5 654;5 031;5 793; 762;;;;;;;;
Lake Geneva;2018;Driving vehicles and operating mobile equipment;total ;5 538;5 238;5 561; 323;;;;;;;;
Lake Geneva;2018;Auxiliary workers;total ;4 890;4 205;5 327;1 122;;;;;;;;
Lake Geneva;2018;Cleaning staff and unskilled workers;total ;4 110;4 060;4 389; 329;;;;;;;;
Lake Geneva;2018;Auxiliary workers in mining, construction, production of goods and transportation;total ;5 458;4 339;5 626;1 287;;;;;;;;
Lake Geneva;2018;Total ;<= 29;5 159;5 139;5 177; 38;;;;;;;;
Lake Geneva;2018;Executives;<= 29;5 999;5 768;6 159; 391;;;;;;;;
Lake Geneva;2018;Managing directors, board members, senior administrative staff and legislative bodies;<= 29;6 162;5 589;6 471; 882;;;;;;;;
Lake Geneva;2018;Managers in the commercial sector;<= 29;5 952;5 746;6 234; 488;;;;;;;;
Lake Geneva;2018;Managers in production and specialized services;<= 29;5 742;5 880;5 650;- 230;;;;;;;;
Lake Geneva;2018;Managers in hotels, restaurants, retail and other services services;<= 29;4 746;*;*;#WERT!;;;;;;;;
Lake Geneva;2018;Intellectual and scientific professions;<= 29;6 166;6 225;6 055;- 170;;;;;;;;
Lake Geneva;2018;Scientists, mathematicians and engineers;<= 29;5 789;5 670;5 875; 205;;;;;;;;
Lake Geneva;2018;Specialists in health professions;<= 29;6 434;6 348;6 599; 251;;;;;;;;
Lake Geneva;2018;Teachers;<= 29;6 438;6 479;6 067;- 412;;;;;;;;
Lake Geneva;2018;Business economists and similar specialists;<= 29;5 439;5 546;5 324;- 222;;;;;;;;
Lake Geneva;2018;Specialists in information and communication technology;<= 29;6 020;5 813;6 092; 279;;;;;;;;
Lake Geneva;2018;Lawyers, social scientists and cultural professions;<= 29;6 270;6 227;6 394; 167;;;;;;;;
Lake Geneva;2018;Technicians and equivalent non-technical professions;<= 29;5 512;5 415;5 694; 279;;;;;;;;
Lake Geneva;2018;Engineering and comparable specialists;<= 29;5 671;5 447;5 713; 266;;;;;;;;
Lake Geneva;2018;Assistant professions in the healthcare sector;<= 29;5 664;5 587;5 851; 264;;;;;;;;
Lake Geneva;2018;Business management and commercial specialists and administrative specialists;<= 29;5 417;5 323;5 832; 509;;;;;;;;
Lake Geneva;2018;Legal, social, cultural and related professionals;<= 29;5 120;5 244;4 917;- 327;;;;;;;;
Lake Geneva;2018;Information and communication technicians;<= 29;5 106;4 819;5 176; 357;;;;;;;;
Lake Geneva;2018;Office workers and related professions;<= 29;4 871;4 940;4 726;- 214;;;;;;;;
Lake Geneva;2018;General office and secretarial staff;<= 29;5 057;5 055;5 098; 43;;;;;;;;
Lake Geneva;2018;Office staff with customer contact;<= 29;4 283;4 371;4 184;- 187;;;;;;;;
Lake Geneva;2018;Office staff in finance and accounting, statistics and materials management;<= 29;4 550;4 838;4 333;- 505;;;;;;;;
Lake Geneva;2018;Other office workers and related occupations;<= 29;5 298;5 500;*;#WERT!;;;;;;;;
Lake Geneva;2018;Service professions and salespersons;<= 29;4 500;4 394;4 627; 233;;;;;;;;
Lake Geneva;2018;Occupations in the field of personal services;<= 29;4 148;4 056;4 287; 231;;;;;;;;
Lake Geneva;2018;Sales staff;<= 29;4 355;4 244;4 509; 265;;;;;;;;
Lake Geneva;2018;Caring professions;<= 29;4 866;4 854;4 934; 80;;;;;;;;
Lake Geneva;2018;Protection and security workers;<= 29;4 938;4 783;4 991; 208;;;;;;;;
Lake Geneva;2018;Skilled workers in agriculture, forestry and fishing;<= 29;4 875;*;4 875;#WERT!;;;;;;;;
Lake Geneva;2018;Skilled workers in agriculture;<= 29;4 875;*;4 875;#WERT!;;;;;;;;
Lake Geneva;2018;Craft and related trades;<= 29;5 225;4 514;5 283; 769;;;;;;;;
Lake Geneva;2018;Construction and finishing workers and related occupations, excl. Electricians;<= 29;5 508;*;5 509;#WERT!;;;;;;;;
Lake Geneva;2018;Metalworkers, mechanics, polymechanics, production mechanics and related occupations;<= 29;4 943;4 551;4 946; 395;;;;;;;;
Lake Geneva;2018;Precision craftsmen and women, printers and artisans;<= 29;4 936;4 705;5 044; 339;;;;;;;;
Lake Geneva;2018;Electricians and electronics technicians;<= 29;5 250;*;5 250;#WERT!;;;;;;;;
Lake Geneva;2018;Food processing, clothing production and related skilled trades;<= 29;4 668;4 250;4 952; 702;;;;;;;;
Lake Geneva;2018;Operating plant and machinery and assembly occupations;<= 29;4 604;4 183;4 652; 469;;;;;;;;
Lake Geneva;2018;Operating stationary plant and machinery;<= 29;4 824;4 183;5 092; 909;;;;;;;;
Lake Geneva;2018;Assembly occupations;<= 29;4 595;*;4 745;#WERT!;;;;;;;;
Lake Geneva;2018;Driving vehicles and operating mobile equipment;<= 29;4 549;4 183;4 568; 385;;;;;;;;
Lake Geneva;2018;Auxiliary workers;<= 29;4 494;3 900;4 847; 947;;;;;;;;
Lake Geneva;2018;Cleaning staff and unskilled workers;<= 29;3 708;3 593;4 000; 407;;;;;;;;
Lake Geneva;2018;Auxiliary workers in mining, construction, production of goods and transportation;<= 29;5 166;4 137;5 277;1 140;;;;;;;;
Lake Geneva;2018;Total ;30 - 49;6 903;6 833;6 954; 121;;;;;;;;
Lake Geneva;2018;Executives;30 - 49;9 528;8 838;9 921;1 083;;;;;;;;
