Year,Region,Industry,Professional Position Category,Gross Pay Total,Gross Pay Women,Gross Pay Men,Gender Pay Gap
2018,Lake Geneva,TOTAL,T/U/M Management,11178,9750,11902,2152
2018,Lake Geneva,SECTOR 2 PRODUCTION,T/U/M Management,9693,7866,10346,2480
2018,Lake Geneva,Mining and quarrying,T/U/M Management,0,0,0,0
2018,Lake Geneva,Manufacturing of Goods,T/U/M Management,10870,9277,11124,1847
2018,Lake Geneva,Waste disposal,T/U/M Management,10682,0,10777,10777
2018,Lake Geneva,Construction ,T/U/M Management,7916,0,8284,8284
2018,Lake Geneva,SECTOR 3 SERVICES ,T/U/M Management,11527,10135,12250,2115
2018,Lake Geneva,Wholesale and retail trade,T/U/M Management,10872,10409,11269,860
2018,Lake Geneva,Transportation and storage,T/U/M Management,9841,9699,9883,184
2018,Lake Geneva,Hotels and restaurants,T/U/M Management,5672,4983,6190,1207
2018,Lake Geneva,Information and communication,T/U/M Management,11305,10147,11607,1460
2018,Lake Geneva,Financial and insurance services,T/U/M Management,16667,13955,17667,3712
2018,Lake Geneva,Professional services,T/U/M Management,12607,10002,13255,3253
2018,Lake Geneva,Other business services,T/U/M Management,9494,8249,9951,1702
2018,Lake Geneva,Health and social work,T/U/M Management,11111,10319,11918,1599
2018,Lake Geneva,Arts and recreation,T/U/M Management,10295,9341,11158,1817
2018,Lake Geneva,Other service activities,T/U/M Management,9608,8742,10098,1356
2018,Lake Geneva,TOTAL,Lower management,9114,8583,9462,879
2018,Lake Geneva,SECTOR 2 PRODUCTION,Lower management,9137,9179,9121,-58
2018,Lake Geneva,Mining and quarrying,Lower management,0,0,0,0
2018,Lake Geneva,Manufacturing of Goods,Lower management,9753,10220,9670,-550
2018,Lake Geneva,Waste disposal,Lower management,8516,0,8686,8686
2018,Lake Geneva,Construction ,Lower management,6953,6122,7219,1097
2018,Lake Geneva,SECTOR 3 SERVICES ,Lower management,9111,8550,9572,1022
2018,Lake Geneva,Wholesale and retail trade,Lower management,9582,8602,10429,1827
2018,Lake Geneva,Transportation and storage,Lower management,8202,0,8287,8287
2018,Lake Geneva,Hotels and restaurants,Lower management,4950,4717,5102,385
2018,Lake Geneva,Information and communication,Lower management,10000,8895,10290,1395
2018,Lake Geneva,Financial and insurance services,Lower management,11242,10725,11491,766
2018,Lake Geneva,Professional services,Lower management,10762,9921,11382,1461
2018,Lake Geneva,Other business services,Lower management,6910,7041,6845,-196
2018,Lake Geneva,Health and social work,Lower management,8568,8413,8830,417
2018,Lake Geneva,Arts and recreation,Lower management,10001,9196,10804,1608
2018,Lake Geneva,Other service activities,Lower management,8392,8112,8875,763
2018,Lake Geneva,TOTAL,Lowest management,7320,7092,7453,361
2018,Lake Geneva,SECTOR 2 PRODUCTION,Lowest management,7272,7500,7206,-294
2018,Lake Geneva,Mining and quarrying,Lowest management,0,0,0,0
2018,Lake Geneva,Manufacturing of Goods,Lowest management,7834,7584,7879,295
2018,Lake Geneva,Waste disposal,Lowest management,5778,0,5984,5984
2018,Lake Geneva,Construction ,Lowest management,6500,6893,6500,-393
2018,Lake Geneva,SECTOR 3 SERVICES ,Lowest management,7381,7058,7651,593
2018,Lake Geneva,Wholesale and retail trade,Lowest management,6449,6418,6498,80
2018,Lake Geneva,Transportation and storage,Lowest management,7401,6268,7597,1329
2018,Lake Geneva,Hotels and restaurants,Lowest management,4681,4428,4747,319
2018,Lake Geneva,Information and communication,Lowest management,9106,7408,9424,2016
2018,Lake Geneva,Financial and insurance services,Lowest management,9286,8590,9910,1320
2018,Lake Geneva,Professional services,Lowest management,8463,7850,8867,1017
2018,Lake Geneva,Other business services,Lowest management,6266,5763,6462,699
2018,Lake Geneva,Health and social work,Lowest management,6877,6815,6919,104
2018,Lake Geneva,Arts and recreation,Lowest management,7544,7846,7295,-551
2018,Lake Geneva,Other service activities,Lowest management,6992,6847,7381,534
2018,Lake Geneva,TOTAL,No management,5999,6036,5973,-63
2018,Lake Geneva,SECTOR 2 PRODUCTION,No management,6046,5716,6100,384
2018,Lake Geneva,Mining and quarrying,No management,5827,0,5872,5872
2018,Lake Geneva,Manufacturing of Goods,No management,6198,5600,6420,820
2018,Lake Geneva,Waste disposal,No management,5950,5716,5984,268
2018,Lake Geneva,Construction ,No management,5800,5885,5800,-85
2018,Lake Geneva,SECTOR 3 SERVICES ,No management,5982,6077,5892,-185
2018,Lake Geneva,Wholesale and retail trade,No management,5007,4755,5248,493
2018,Lake Geneva,Transportation and storage,No management,5416,5493,5412,-81
2018,Lake Geneva,Hotels and restaurants,No management,4204,4108,4275,167
2018,Lake Geneva,Information and communication,No management,7357,6488,7667,1179
2018,Lake Geneva,Financial and insurance services,No management,6944,6648,7642,994
2018,Lake Geneva,Professional services,No management,6667,6500,6886,386
2018,Lake Geneva,Other business services,No management,5100,4805,5193,388
2018,Lake Geneva,Health and social work,No management,6331,6248,6591,343
2018,Lake Geneva,Arts and recreation,No management,6916,6916,6917,1
2018,Lake Geneva,Other service activities,No management,5401,5107,6000,893
2016,Lake Geneva,TOTAL,Total ,6591,6329,6770,441
2016,Lake Geneva,SECTOR 2 PRODUCTION,Total ,6500,6083,6583,500
2016,Lake Geneva,Mining and quarrying,Total ,6412,0,6346,6346
2016,Lake Geneva,Manufacturing of Goods,Total ,6693,6000,6952,952
2016,Lake Geneva,Waste disposal,Total ,5907,5936,5896,-40
2016,Lake Geneva,Construction ,Total ,6205,5983,6225,242
2016,Lake Geneva,SECTOR 3 SERVICES ,Total ,6626,6367,6918,551
2016,Lake Geneva,Wholesale and retail trade,Total ,5500,5000,5850,850
2016,Lake Geneva,Transportation and storage,Total ,5963,5843,5994,151
2016,Lake Geneva,Hotels and restaurants,Total ,4237,4051,4410,359
2016,Lake Geneva,Information and communication,Total ,8451,7156,8853,1697
2016,Lake Geneva,Financial and insurance services,Total ,9812,8086,11313,3227
2016,Lake Geneva,Professional services,Total ,7746,7065,8339,1274
2016,Lake Geneva,Other business services,Total ,5400,5101,5477,376
2016,Lake Geneva,Health and social work,Total ,6638,6433,7319,886
2016,Lake Geneva,Arts and recreation,Total ,6866,6645,7040,395
2016,Lake Geneva,Other service activities,Total ,5999,5200,7223,2023
2016,Lake Geneva,TOTAL,T/U/M Management,11048,9617,11603,1986
2016,Lake Geneva,SECTOR 2 PRODUCTION,T/U/M Management,10113,9783,10113,330
2016,Lake Geneva,Mining and quarrying,T/U/M Management,0,0,0,0
2016,Lake Geneva,Manufacturing of Goods,T/U/M Management,10883,10847,10909,62
2016,Lake Geneva,Waste disposal,T/U/M Management,9193,0,9423,9423
2016,Lake Geneva,Construction ,T/U/M Management,8559,7164,8778,1614
2016,Lake Geneva,SECTOR 3 SERVICES ,T/U/M Management,11315,9614,12074,2460
2016,Lake Geneva,Wholesale and retail trade,T/U/M Management,9198,8000,9935,1935
,,,,9733,8890,10091,1201
,,,,5673,4921,6069,1148
,,,,11170,9458,11429,1971
2016,Lake Geneva,Financial and insurance services,T/U/M Management,17189,15251,17944,2693
,,,,11496,10102,11931,1829
2016,Lake Geneva,Other business services,T/U/M Management,10000,8412,10742,2330
2016,Lake Geneva,Health and social work,T/U/M Management,11360,9819,12605,2786
,,,,9993,9121,10552,1431
2016,Lake Geneva,Other service activities,T/U/M Management,9959,8679,10805,2126
2016,Lake Geneva,TOTAL,Lower management,8831,8193,9192,999
2016,Lake Geneva,SECTOR 2 PRODUCTION,Lower management,8947,8588,9044,456
2016,Lake Geneva,Mining and quarrying,Lower management,0,0,0,0
2016,Lake Geneva,Manufacturing of Goods,Lower management,9112,8954,9196,242
2016,Lake Geneva,Waste disposal,Lower management,7557,0,7822,7822
2016,Lake Geneva,Construction ,Lower management,7192,6645,7222,577
2016,Lake Geneva,SECTOR 3 SERVICES ,Lower management,8798,8145,9225,1080
2016,Lake Geneva,Wholesale and retail trade,Lower management,7840,7581,7958,377
,,,,8425,7798,8800,1002
2016,Lake Geneva,Hotels and restaurants,Lower management,5184,4877,5465,588
2016,Lake Geneva,Information and communication,Lower management,9885,8701,10170,1469
2016,Lake Geneva,Financial and insurance services,Lower management,11551,10947,11835,888
,,,,8997,8336,9225,889
,,,,7731,7731,7760,29
2016,Lake Geneva,Health and social work,Lower management,8912,8359,9632,1273
,,,,8748,8304,9344,1040
,,,,7792,7515,8402,887
2016,Lake Geneva,TOTAL,Lowest management,7285,7000,7414,414
2016,Lake Geneva,SECTOR 2 PRODUCTION,Lowest management,7161,7202,7145,-57
2016,Lake Geneva,Mining and quarrying,Lowest management,0,0,0,0
2016,Lake Geneva,Manufacturing of Goods,Lowest management,7522,7383,7539,156
,,,,6258,0,6258,6258
,,,,6777,6499,6786,287
2016,Lake Geneva,SECTOR 3 SERVICES ,Lowest management,7333,6985,7535,550
2016,Lake Geneva,Wholesale and retail trade,Lowest management,6218,6000,6302,302
,,,,7389,6733,7510,777
2016,Lake Geneva,Hotels and restaurants,Lowest management,4828,4398,4962,564
2016,Lake Geneva,Information and communication,Lowest management,8439,7501,8823,1322
2016,Lake Geneva,Financial and insurance services,Lowest management,9451,8815,9988,1173
2016,Lake Geneva,Professional services,Lowest management,7802,7593,8052,459
2016,Lake Geneva,Other business services,Lowest management,6804,6630,6818,188
2016,Lake Geneva,Health and social work,Lowest management,7148,6898,7588,690
,,,,7500,7365,7807,442
,,,,6757,6681,7003,322
2016,Lake Geneva,TOTAL,No management,6000,5939,6047,108
2016,Lake Geneva,SECTOR 2 PRODUCTION,No management,6140,5744,6216,472
,,,,5989,0,5955,5955
2016,Lake Geneva,Manufacturing of Goods,No management,6233,5628,6450,822
2016,Lake Geneva,Waste disposal,No management,5628,5785,5620,-165
2016,Lake Geneva,Construction ,No management,5954,5795,5968,173
2016,Lake Geneva,SECTOR 3 SERVICES ,No management,5945,5965,5918,-47
2016,Lake Geneva,Wholesale and retail trade,No management,4893,4616,5158,542
2016,Lake Geneva,Transportation and storage,No management,5422,5469,5414,-55
2016,Lake Geneva,Hotels and restaurants,No management,4053,3946,4151,205
2016,Lake Geneva,Information and communication,No management,7348,6500,7710,1210
2016,Lake Geneva,Financial and insurance services,No management,7126,6696,7771,1075
2016,Lake Geneva,Professional services,No management,6550,6452,6689,237
2016,Lake Geneva,Other business services,No management,5189,4854,5279,425
2016,Lake Geneva,Health and social work,No management,6348,6222,6680,458
2016,Lake Geneva,Arts and recreation,No management,5912,6200,5750,-450
2016,Lake Geneva,Other service activities,No management,4693,4299,5952,1653
2014,Lake Geneva,TOTAL,Total ,6497,6189,6682,493
2014,Lake Geneva,SECTOR 2 PRODUCTION,Total ,6402,5882,6500,618
,,,,5946,0,6067,6067
2014,Lake Geneva,Manufacturing of Goods,Total ,6542,5781,6806,1025
2014,Lake Geneva,Waste disposal,Total ,5778,5579,5779,200
2014,Lake Geneva,Construction ,Total ,6104,5843,6113,270
2014,Lake Geneva,SECTOR 3 SERVICES ,Total ,6530,6239,6836,597
2014,Lake Geneva,Wholesale and retail trade,Total ,5374,4820,5733,913
2014,Lake Geneva,Transportation and storage,Total ,5894,5502,5977,475
2014,Lake Geneva,Hotels and restaurants,Total ,4198,3932,4430,498
2014,Lake Geneva,Information and communication,Total ,8586,7284,8972,1688
2014,Lake Geneva,Financial and insurance services,Total ,10000,8333,11472,3139
2014,Lake Geneva,Professional services,Total ,7899,7086,8632,1546
2014,Lake Geneva,Other business services,Total ,5046,4706,5180,474
2014,Lake Geneva,Health and social work,Total ,6664,6398,7358,960
2014,Lake Geneva,Arts and recreation,Total ,6675,7119,6499,-620
2014,Lake Geneva,Other service activities,Total ,6326,5563,7627,2064
2014,Lake Geneva,TOTAL,T/U/M Management,10833,9559,11370,1811
,,,,10103,10008,10103,95
,,,,0,0,0,0
2014,Lake Geneva,Manufacturing of Goods,T/U/M Management,10738,10821,10718,-103
,,,,10636,0,10726,10726
,,,,8259,0,8410,8410
2014,Lake Geneva,SECTOR 3 SERVICES ,T/U/M Management,10992,9524,11768,2244
,,,,8799,8000,9046,1046
,,,,8667,7173,8836,1663
,,,,6588,5777,6667,890
,,,,11655,9493,11917,2424
2014,Lake Geneva,Financial and insurance services,T/U/M Management,16635,14016,17471,3455
,,,,11991,10313,12305,1992
2014,Lake Geneva,Other business services,T/U/M Management,8818,8259,8884,625
2014,Lake Geneva,Health and social work,T/U/M Management,10857,9583,12492,2909
,,,,8883,9999,8560,-1439
,,,,9317,7711,10098,2387
2014,Lake Geneva,TOTAL,Lower management,8598,8094,8911,817
2014,Lake Geneva,SECTOR 2 PRODUCTION,Lower management,8393,8096,8435,339
,,,,0,0,0,0
2014,Lake Geneva,Manufacturing of Goods,Lower management,8742,8521,8807,286
,,,,7800,0,7831,7831
,,,,7091,6627,7140,513
2014,Lake Geneva,SECTOR 3 SERVICES ,Lower management,8667,8088,9127,1039
,,,,8000,7714,8019,305
,,,,7827,0,8340,8340
,,,,5267,4930,5571,641
2014,Lake Geneva,Information and communication,Lower management,9922,8837,10148,1311
2014,Lake Geneva,Financial and insurance services,Lower management,11550,10833,12090,1257
,,,,9219,8692,9555,863
,,,,7040,6602,7100,498
2014,Lake Geneva,Health and social work,Lower management,8417,7823,9231,1408
,,,,8576,8300,9074,774
,,,,7896,7599,8750,1151
2014,Lake Geneva,TOTAL,Lowest management,6949,6630,7119,489
2014,Lake Geneva,SECTOR 2 PRODUCTION,Lowest management,6824,6770,6840,70
,,,,0,0,0,0
2014,Lake Geneva,Manufacturing of Goods,Lowest management,7040,6826,7109,283
,,,,6644,0,6832,6832
2014,Lake Geneva,Construction ,Lowest management,6727,6506,6728,222
2014,Lake Geneva,SECTOR 3 SERVICES ,Lowest management,7009,6626,7377,751
2014,Lake Geneva,Wholesale and retail trade,Lowest management,6110,5860,6249,389
2014,Lake Geneva,Transportation and storage,Lowest management,7197,6483,7384,901
2014,Lake Geneva,Hotels and restaurants,Lowest management,4850,4458,4951,493
2014,Lake Geneva,Information and communication,Lowest management,8566,8234,8720,486
2014,Lake Geneva,Financial and insurance services,Lowest management,9181,8751,9595,844
,,,,8255,7819,8483,664
2014,Lake Geneva,Other business services,Lowest management,5971,6030,5917,-113
2014,Lake Geneva,Health and social work,Lowest management,6679,6386,7564,1178
,,,,6400,7119,5873,-1246
,,,,6209,5779,7126,1347
2014,Lake Geneva,TOTAL,No management,5899,5796,5960,164
2014,Lake Geneva,SECTOR 2 PRODUCTION,No management,6067,5632,6156,524
,,,,5736,0,5770,5770
2014,Lake Geneva,Manufacturing of Goods,No management,6133,5549,6376,827
,,,,5469,5226,5493,267
2014,Lake Geneva,Construction ,No management,5881,5503,5902,399
2014,Lake Geneva,SECTOR 3 SERVICES ,No management,5794,5833,5756,-77
2014,Lake Geneva,Wholesale and retail trade,No management,4762,4515,5007,492
2014,Lake Geneva,Transportation and storage,No management,5462,5264,5523,259
2014,Lake Geneva,Hotels and restaurants,No management,3954,3817,4099,282
2014,Lake Geneva,Information and communication,No management,7246,6329,7594,1265
2014,Lake Geneva,Financial and insurance services,No management,7312,6988,7846,858
2014,Lake Geneva,Professional services,No management,6482,6360,6616,256
2014,Lake Geneva,Other business services,No management,4836,4455,4932,477
2014,Lake Geneva,Health and social work,No management,6360,6190,6830,640
2014,Lake Geneva,Arts and recreation,No management,6094,6454,5857,-597
,,,,4942,4387,5953,1566
2012,Lake Geneva,TOTAL,Total ,6558,6151,6855,704
2012,Lake Geneva,SECTOR 2 PRODUCTION,Total ,6482,5939,6597,658
,,,,5945,0,5975,5975
2012,Lake Geneva,Manufacturing of Goods,Total ,6763,5906,7114,1208
2012,Lake Geneva,Waste disposal,Total ,5907,5596,5925,329
2012,Lake Geneva,Construction ,Total ,6151,5804,6172,368
2012,Lake Geneva,SECTOR 3 SERVICES ,Total ,6594,6187,7083,896
2012,Lake Geneva,Wholesale and retail trade,Total ,5365,4698,5822,1124
,,,,5493,5508,5483,-25
2012,Lake Geneva,Hotels and restaurants,Total ,4089,3889,4334,445
2012,Lake Geneva,Information and communication,Total ,8115,6899,8500,1601
2012,Lake Geneva,Financial and insurance services,Total ,9614,7858,11079,3221
2012,Lake Geneva,Professional services,Total ,7729,6695,8823,2128
2012,Lake Geneva,Other business services,Total ,5497,5092,5604,512
2012,Lake Geneva,Health and social work,Total ,6528,6284,7216,932
2012,Lake Geneva,Arts and recreation,Total ,6980,6984,6980,-4
2012,Lake Geneva,Other service activities,Total ,6401,5566,7775,2209
2012,Lake Geneva,TOTAL,T/U/M Management,10958,9326,11666,2340
2012,Lake Geneva,SECTOR 2 PRODUCTION,T/U/M Management,9412,8068,9604,1536
,,,,0,0,0,0
2012,Lake Geneva,Manufacturing of Goods,T/U/M Management,9983,9132,10058,926
,,,,9905,0,10280,10280
,,,,8556,6717,8672,1955
2012,Lake Geneva,SECTOR 3 SERVICES ,T/U/M Management,11300,9444,12209,2765
2012,Lake Geneva,Wholesale and retail trade,T/U/M Management,9750,8500,10417,1917
,,,,9774,7697,10359,2662
2012,Lake Geneva,Hotels and restaurants,T/U/M Management,5444,4952,5674,722
2012,Lake Geneva,Information and communication,T/U/M Management,11098,8883,11584,2701
2012,Lake Geneva,Financial and insurance services,T/U/M Management,16915,14917,17557,2640
,,,,12752,11333,13088,1755
,,,,10092,8751,10817,2066
,,,,10839,9864,12023,2159
,,,,8900,7800,10196,2396
,,,,8504,7691,9245,1554
2012,Lake Geneva,TOTAL,Lower management,9108,8510,9467,957
2012,Lake Geneva,SECTOR 2 PRODUCTION,Lower management,8708,8048,8874,826
,,,,0,0,0,0
2012,Lake Geneva,Manufacturing of Goods,Lower management,9281,8812,9364,552
,,,,0,0,0,0
,,,,7433,6521,7587,1066
2012,Lake Geneva,SECTOR 3 SERVICES ,Lower management,9177,8549,9687,1138
,,,,8050,7880,8223,343
,,,,7192,6467,7384,917
,,,,4743,4068,5107,1039
2012,Lake Geneva,Information and communication,Lower management,9860,9129,9967,838
2012,Lake Geneva,Financial and insurance services,Lower management,11527,10661,12083,1422
2012,Lake Geneva,Professional services,Lower management,8667,8333,9105,772
2012,Lake Geneva,Other business services,Lower management,8075,7692,8220,528
2012,Lake Geneva,Health and social work,Lower management,8928,8594,9467,873
,,,,8983,8526,9544,1018
2012,Lake Geneva,Other service activities,Lower management,8208,7764,9266,1502
2012,Lake Geneva,TOTAL,Lowest management,7101,6844,7217,373
2012,Lake Geneva,SECTOR 2 PRODUCTION,Lowest management,6824,6453,6859,406
,,,,0,0,0,0
2012,Lake Geneva,Manufacturing of Goods,Lowest management,6902,6346,7013,667
,,,,6845,0,7053,7053
,,,,6641,6455,6666,211
2012,Lake Geneva,SECTOR 3 SERVICES ,Lowest management,7251,6895,7539,644
2012,Lake Geneva,Wholesale and retail trade,Lowest management,5864,5574,6036,462
2012,Lake Geneva,Transportation and storage,Lowest management,6039,5612,6169,557
2012,Lake Geneva,Hotels and restaurants,Lowest management,4594,4264,4794,530
2012,Lake Geneva,Information and communication,Lowest management,8335,7447,8500,1053
2012,Lake Geneva,Financial and insurance services,Lowest management,9662,9008,10049,1041
2012,Lake Geneva,Professional services,Lowest management,7222,6658,7539,881
,,,,6357,6137,6363,226
2012,Lake Geneva,Health and social work,Lowest management,7365,7247,7646,399
,,,,7101,7518,6740,-778
,,,,6528,5893,7555,1662
2012,Lake Geneva,TOTAL,No management,5912,5722,6041,319
2012,Lake Geneva,SECTOR 2 PRODUCTION,No management,6158,5717,6244,527
,,,,5458,0,5669,5669
2012,Lake Geneva,Manufacturing of Goods,No management,6422,5712,6750,1038
,,,,5386,4622,5393,771
2012,Lake Geneva,Construction ,No management,5859,5427,5881,454
2012,Lake Geneva,SECTOR 3 SERVICES ,No management,5781,5723,5843,120
2012,Lake Geneva,Wholesale and retail trade,No management,4706,4362,5068,706
,,,,5150,5282,5143,-139
2012,Lake Geneva,Hotels and restaurants,No management,3919,3792,4042,250
2012,Lake Geneva,Information and communication,No management,6864,6280,7038,758
2012,Lake Geneva,Financial and insurance services,No management,7066,6615,7629,1014
2012,Lake Geneva,Professional services,No management,5965,5830,6242,412
2012,Lake Geneva,Other business services,No management,5113,4684,5243,559
2012,Lake Geneva,Health and social work,No management,6114,6005,6547,542
,,,,6212,6392,6055,-337
,,,,5274,4436,5985,1549
2020,Midlands,TOTAL,Total ,6600,6112,6923,811
2020,Midlands,SECTOR 2 PRODUCTION,Total ,6301,5490,6490,1000
,,,,6333,0,6404,6404
2020,Midlands,Manufacturing of Goods,Total ,6233,5390,6571,1181
2020,Midlands,Waste disposal,Total ,6478,6400,6500,100
